希腊字符,latex,希腊字符,latex,希腊字符,latex
α,\textbackslash alpha,λ,\textbackslash lambda,φ,\textbackslash varphi
β,\textbackslash beta,μ,\textbackslash mu,χ,\textbackslash chi
γ,\textbackslash gamma,ν,\textbackslash nu,ψ,\textbackslash psi
δ,\textbackslash delta,ξ,\textbackslash xi,ω,\textbackslash omega
ε,\textbackslash varepsilon,ο,o,ϕ,\textbackslash phi
ζ,\textbackslash zeta,π,\textbackslash pi,σ,\textbackslash sigma
η,\textbackslash eta,ρ,\textbackslash rho,τ,\textbackslash tau
θ,\textbackslash theta,σ,\textbackslash sigma,υ,\textbackslash upsilon
ι,\textbackslash iota,κ,\textbackslash kappa,,
